PROBLEM;PRAWDOPODOBNA PRZYCZYNA;NOWY WZORZEC MYŚLENIA
Addisona Choroba (nadnercza);"Dotkliwe „niedożywienie"" emocjonalne. Złość na siebie.";Z miłością troszczę się o moje ciało, mój umysł i moje emocje.
AIDS;"Poczucie beznadziejności i rozpaczy. „Nikt o mnie nie dba"". Silne przeświadczenie, że nie jest się dość dobrym. Wyparcie się siebie. Poczucie winy na tle seksualnym.";Jestem częścią Wszechświata. Jestem ważny i kochany przez samo Życie. Jestem silny i uzdolniony. Kocham siebie i wysoko siebie cenię.
Aktywność nadmierna;Lęk. Uczucie przytłoczenia.;Jestem bezpieczny. Znika wszelkie napięcie. Jestem wystarczająco dobry.
Alergia (uczulenie);Na kogo jesteś uczulony? Wypieranie się własnej mocy.;Świat jest bezpieczny i przyjazny. Jestem bezpieczny. Jestem w zgodzie z życiem.
Alkoholizm;"„Po co to wszystko""? Poczucie daremności, winy, nie nadawania się.";Żyję w teraźniejszości. Każda chwila jest nowa. Chcę widzieć swoją wartość. Kocham i akceptuję siebie.
Alzheimera choroba;Opór przed doświadczaniem świata takim, jaki jest. Brak nadziei i bezradność. Gniew.;Zawsze istnieje dla mnie nowa, lepsza droga doświadczania życia. Wybaczam sobie przeszłość i uwalniam ją. Podążam naprzód ku radości.
Amnezja (utrata pamięci);Lęk. Ucieczka od życia. Niezdolność do obrony swojego ja.;Ufam swojej inteligencji i odwadze, mam poczucie własnej wartości. Bezpiecznie jest żyć.
Angina, dyfteryt;Silne przekonanie, że nie możesz wyrażać siebie i prosić o to, czego potrzebujesz.;Zasługuję na to, by moje potrzeby zostały spełnione. Z miłością i bez trudu proszę o to, czego potrzebuję i dostaję to.
Anemia;"Postawa „tak, ale..."". Brak radości, lęk przed życiem. Poczucie, że nie jest się „dość dobrym"".";Bezpiecznie jest przeżywać radość w każdej dziedzinie mojego życia. Kocham życie.
Anemia sierpowata;"„To dziecko nie jest dość dobre"" — przekonanie, które niszczy każdą radość życia.";To dziecko żyje i oddycha radością życia i żywi się miłością. Bóg czyni cuda każdego dnia.
Apatia;Ucieczka przed odczuwaniem. Tłumienie swojego ja. Lęk.;Bezpiecznie jest odczuwać. Otwieram się na życie. Chcę doświadczać życia.
Apetyt — nadmierny;Lęk. Potrzeba ochrony. Osądzanie swoich uczuć.;Jestem bezpieczny. Bezpiecznie jest czuć. Moje uczucia są normalne i godne akceptacji.
Apetyt — utrata por. Brak łaknienia;Lęk. Ochranianie siebie. Nieufność wobec życia.;Kocham i aprobuję siebie. Jestem bezpieczny. Życie jest bezpieczne i radosne.
Arterioskleroza (miażdżyca);Opór, napięcie. Zatwardziałość, ciasnota umysłowa. Niechęć do dostrzegania dobra.;Jestem zupełnie otwarty dla życia i radości. Chcę widzieć oczami miłości.
Artretyzm (stawy);Poczucie bycia niekochanym. Krytycyzm, uraza.;Jestem miłością. Postanawiam kochać i aprobować siebie. Z miłością patrzę na innych.
Astma;Przytłaczająca miłość. Niezdolność do samodzielnego oddychania. Poczucie przyduszenia. Stłumiony płacz.;Bezpiecznie jest przyjąć odpowiedzialność za moje życie. Postanawiam być wolnym.
Astma dziecięca;Lęk przed życiem. Niechęć do bycia tutaj.;To dziecko jest bezpieczne i kochane. To dziecko jest chciane i umiłowane.
Astygmatyzm (oczy);-;-
Ataki (agresji), wybuchy emocjonalne;Ucieczka od rodziny, od siebie lub od życia.;Jestem zadomowiony we Wszechświecie. Jestem bezpieczny i rozumiany.
Barki (stawy, garbienie się);Reprezentują zdolność do radosnego unoszenia naszych doświadczeń. Nasza postawa wobec życia czyni z niego ciężar.;Postanawiam, by moje wszystkie doznania były przepełnione radością i miłością.
Bezpłodność;Lęk i opór wobec biegu życia lub brak potrzeby przejścia przez doświadczenia rodzicielskie.;Ufam procesowi życia. Jestem zawsze na właściwym miejscu, robię właściwe rzeczy we właściwym czasie. Kocham i aprobuję siebie.
Bezsenność;Lęk. Nieufność wobec biegu życia. Poczucie winy.;Z miłością zostawiam dzień i zapadam w spokojny sen, wiedząc, że jutro samo zatroszczy się o siebie.
Białaczka (krew - dolegliwości);"Brutalne tłumienie wdechu. „Po co to wszystko"".";Wykraczam poza przeszłe ograniczenia, ku obecnej wolności. Bezpiecznie jest być sobą.
Biegunka (rozwolnienie);Lęk i silny gniew.;Zaprowadzam spokój w moich myślach, a moje ciało go odzwierciedla.
Biegunka amebowa;Sądzisz, że wszystko sprzysięgło się przeciw tobie.;Jestem siłą i autorytetem w moim świecie. Jestem spokojny.
Biegunka bakteryjna;Przygnębienie, brak nadziei.;Jestem pełen życia, energii i radości.
Bielactwo;Brak poczucia przynależności. Poczucie wyobcowania z grupy. Bycie na zewnątrz.;Jestem w samym środku Życia, całkowicie przeniknięty Miłością.
Bielnica;Uczucie skrępowania. Wielkie rozczarowanie i gniew. Wymagania i nieufność w związkach. Pasożytowanie.;Pozwalam sobie być wszystkim, czym mogę być i osiągam w życiu wszystko, co najlepsze. Kocham i akceptuję siebie i innych.
Biodro;Utrzymuje ciało w doskonałej równowadze. Najważniejszy element poruszania się do przodu.;Każdy nowy dzień niesie radość. Jestem zrównoważony i swobodny.
Biodro - dolegliwości;Lęk przed realizacją ważnych decyzji. Nie ma po co iść naprzód.;Jestem w doskonałej równowadze. W każdym wieku poruszam się naprzód lekko i radośnie.
Ból (chroniczny ból);Poczucie winy. Wina zawsze wymaga kary.;Z miłością uwalniam przeszłość. Inni są wolni i ja jestem wolny. Teraz w moim sercu wszystko jest w porządku.
Brighta choroba (zapalenie miąższowe nerek);Czucie się jak dziecko, które niczego nie potrafi robić właściwie i nie jest wystarczająco dobre. Poczucie braku.;Kocham i akceptuję siebie. Troszczę się o siebie. Zawsze jestem w porządku.
Brodawki;Słabe uzewnętrznianie nienawiści. Wiara w brzydotę.;Jestem doskonałym wyrazem miłości i piękna Życia.
Cellulitis;Nagromadzony gniew. Karanie siebie.;Wybaczam innym. Wybaczam sobie. Jestem wolna, aby kochać i cieszyć się życiem.
Cholesterol — nadmiar;Zablokowanie kanałów radości. Lęk przed doświadczaniem radości.;Postanawiam kochać życie. Moje kanały radości są szeroko otwarte. Bezpiecznie jest przyjmować.
Choroby okresu dziecięcego;Wiara w ustalony porządek, wzorce społeczne i nieprawdziwe zasady. Dziecinne zachowania dorosłych z otoczenia.;To dziecko jest chronione przez Boga i otoczone miłością. Domagamy się jego psychicznej nietykalności.
Chrapanie;Uparta odmowa uwolnienia się od starych wzorców.;Zostawiam wszystko, co w moim umyśle nie jest miłością i radością. Przechodzę od przeszłości do tego, co nowe, świeże i żywotne.
Chroniczne stany chorobowe;Niechęć do zmiany. Strach przed przyszłością. Brak poczucia bezpieczeństwa.;Chcę się zmienić i rosnąć. Teraz tworzę nową i bezpieczną przyszłość.
Chroniczny ból;Tęsknota za miłością. Tęsknota za oparciem.;Kocham i akceptuję siebie. Kocham i zasługuję na miłość.
Ciśnienie krwi — nadciśnienie;Długotrwały, nierozwiązany problem emocjonalny.;Z radością uwalniam się od przeszłości. Jestem spokojny.
Ciśnienie krwi — niskie ciśnienie;"Brak miłości w dzieciństwie. Defetyzm. „Po co to wszystko? To się nigdy nie uda"".";Chcę żyć w zawsze radosnym TERAZ. Moje życie jest radością.
Cukrzyca;Tęsknota za czymś, co mogłoby się wydarzyć. Wielka potrzeba sprawowania kontroli. Głęboki smutek. Brak słodyczy.;Ta chwila jest wypełniona radością. Decyduję się przeżyć słodycz dnia dzisiejszego.
Cukrzyca — niedocukrzenie;"Przytłoczenie ciężarem życia. „To i tak nie ma sensu"".";Postanawiam tworzyć życie pełne światła, prostoty i radości.
